"model","learning_rate","hidden_size","batch_size","pooling_style","epoch","valid_count","loss","acc","time"
gated_cnn,0.001,128,64,avg,1,1997,0.520733159818467,82.62393590385578,1.426513910293579
gated_cnn,0.001,128,64,avg,2,1997,0.3526124300280954,87.08062093139709,1.57999849319458
gated_cnn,0.001,128,64,avg,3,1997,0.29890248606539077,88.4827240861292,1.4052255153656006
gated_cnn,0.001,128,64,avg,4,1997,0.27055062609873,89.23385077616425,1.447190523147583
gated_cnn,0.001,128,64,avg,5,1997,0.25036923468682415,89.78467701552329,1.4598634243011475
gated_cnn,0.001,128,64,max,1,1997,0.3511377381291359,88.78317476214322,1.6434860229492188
gated_cnn,0.001,128,64,max,2,1997,0.23644515880306435,88.93340010015022,1.659552812576294
gated_cnn,0.001,128,64,max,3,1997,0.17671896135256548,89.78467701552329,1.8236565589904785
gated_cnn,0.001,128,64,max,4,1997,0.12447106783652002,87.98197295943916,1.6414244174957275
gated_cnn,0.001,128,64,max,5,1997,0.08609645165930128,87.98197295943916,1.684431552886963
gated_cnn,0.001,128,128,avg,1,1997,0.5864285675785209,78.31747621432147,1.3575894832611084
gated_cnn,0.001,128,128,avg,2,1997,0.42227603664881064,83.97596394591888,1.451566457748413
gated_cnn,0.001,128,128,avg,3,1997,0.3445379045567935,86.68002003004507,1.3313186168670654
gated_cnn,0.001,128,128,avg,4,1997,0.3047255779368968,88.23234852278418,1.419377326965332
gated_cnn,0.001,128,128,avg,5,1997,0.2825636848618713,88.3825738607912,1.4149169921875
gated_cnn,0.001,128,128,max,1,1997,0.3719110781256157,88.08212318477716,1.5932140350341797
gated_cnn,0.001,128,128,max,2,1997,0.24759901786529565,89.28392588883325,1.581998348236084
gated_cnn,0.001,128,128,max,3,1997,0.19272671847403805,89.73460190285428,1.6303410530090332
gated_cnn,0.001,128,128,max,4,1997,0.14726123770203772,89.78467701552329,1.566420078277588
gated_cnn,0.001,128,128,max,5,1997,0.10866608767758441,89.28392588883325,1.6712355613708496
gated_cnn,0.0001,128,64,avg,1,1997,0.6800940401235204,67.35102653980971,1.475569486618042
gated_cnn,0.0001,128,64,avg,2,1997,0.6152728124029317,67.15072608913371,1.4372279644012451
gated_cnn,0.0001,128,64,avg,3,1997,0.5646649485181092,69.15373059589383,1.488598108291626
