"model","learning_rate","hidden_size","batch_size","pooling_style","epoch","valid_count","loss","acc","time"
lstm,0.001,128,64,max,5,1997,0.20102294838162743,89.68452679018529,9.539191246032715
lstm,0.001,128,128,avg,1,1997,0.6262286995785146,78.6179268903355,9.584657669067383
lstm,0.001,128,128,avg,2,1997,0.4928595193579227,81.12168252378568,9.419527053833008
lstm,0.001,128,128,avg,3,1997,0.4423905196069162,82.57386079118677,9.534486293792725
lstm,0.001,128,128,avg,4,1997,0.39369679393270346,84.17626439659489,9.586846113204956
lstm,0.001,128,128,avg,5,1997,0.41386099216304245,84.47671507260891,9.658158302307129
lstm,0.001,128,128,max,1,1997,0.5277676163594934,83.57536304456686,9.602824926376343
lstm,0.001,128,128,max,2,1997,0.3912765698719628,86.57986980470707,9.723101377487183
lstm,0.001,128,128,max,3,1997,0.3208768431898914,87.33099649474211,9.647872924804688
lstm,0.001,128,128,max,4,1997,0.27531020531925976,88.78317476214322,9.828603982925415
lstm,0.001,128,128,max,5,1997,0.24405185557618925,89.83475212819229,9.787615060806274
lstm,0.0001,128,64,avg,1,1997,0.6448617881270731,66.64997496244366,9.418537616729736
lstm,0.0001,128,64,avg,2,1997,0.5578090931959213,76.01402103154732,9.607574462890625
lstm,0.0001,128,64,avg,3,1997,0.519072600990344,76.01402103154732,9.46041464805603
lstm,0.0001,128,64,avg,4,1997,0.5092250268170788,76.11417125688533,9.415183305740356
lstm,0.0001,128,64,avg,5,1997,0.5112180404222695,77.11567351026541,9.473474740982056
lstm,0.0001,128,64,max,1,1997,0.6029525458053419,77.71657486229344,9.544149160385132
lstm,0.0001,128,64,max,2,1997,0.4227071682548827,86.42964446670005,9.784554958343506
lstm,0.0001,128,64,max,3,1997,0.3266877178458651,87.1306960440661,9.628787755966187
lstm,0.0001,128,64,max,4,1997,0.2971558412833578,87.73159739609414,9.584367036819458
lstm,0.0001,128,64,max,5,1997,0.2763251811503225,87.23084626940411,9.560033559799194
lstm,0.0001,128,128,avg,1,1997,0.6579197252853007,66.64997496244366,9.39021348953247
lstm,0.0001,128,128,avg,2,1997,0.6252256314965743,66.64997496244366,9.386508464813232
lstm,0.0001,128,128,avg,3,1997,0.5459357737740383,76.41462193289935,9.515814542770386
lstm,0.0001,128,128,avg,4,1997,0.5303343270398393,76.16424636955433,9.488811492919922
lstm,0.0001,128,128,avg,5,1997,0.5079046782059006,77.36604907361043,9.596078157424927
lstm,0.0001,128,128,max,1,1997,0.6624643976175333,66.64997496244366,9.600662469863892
lstm,0.0001,128,128,max,2,1997,0.5377549891230426,66.64997496244366,9.773911237716675
lstm,0.0001,128,128,max,3,1997,0.46982160248333893,81.92288432648974,9.643486499786377
lstm,0.0001,128,128,max,4,1997,0.3839059666365008,85.678517776665,9.637842416763306
lstm,0.0001,128,128,max,5,1997,0.33101688193369516,86.78017025538307,9.794384717941284
